transcript_id	cluster
ENSMUST00000027974.6	4
ENSMUST00000027980.7	5
ENSMUST00000028004.10	5
ENSMUST00000028005.2	4
ENSMUST00000028059.8	4
ENSMUST00000028062.7	6
ENSMUST00000028083.5	6
ENSMUST00000028117.3	6
ENSMUST00000028135.14	4
ENSMUST00000028151.6	4
ENSMUST00000028341.10	4
ENSMUST00000028342.6	4
ENSMUST00000028382.12	6
ENSMUST00000028386.11	4
ENSMUST00000028392.7	4
ENSMUST00000028408.2	5
ENSMUST00000028509.10	4
ENSMUST00000028551.3	7
ENSMUST00000028552.3	6
ENSMUST00000028553.3	2
ENSMUST00000028583.7	4
ENSMUST00000028592.11	6
ENSMUST00000028599.7	6
ENSMUST00000028608.12	6
ENSMUST00000028610.9	1
ENSMUST00000028617.6	7
ENSMUST00000028619.4	7
ENSMUST00000028623.12	1
ENSMUST00000028635.5	7
ENSMUST00000028677.4	5
ENSMUST00000028683.13	4
ENSMUST00000028763.9	1
ENSMUST00000028815.14	1
ENSMUST00000028829.12	2
ENSMUST00000028836.6	4
ENSMUST00000028858.7	5
